iteration,start_flag,x,y,raw_angle,distance,quality
1,0,-2273.019559,2054.623587,137.889,3064,188
1,0,0,0,138.466,0,0
1,0,-2320.543385,2055.499549,138.466,3100,188
1,0,0,0,139.103,0,0
1,0,0,0,139.427,0,0
1,0,-2388.327025,2044.658901,139.433,3144,188
1,0,0,0,140.07,0,0
1,0,0,0,140.389,0,0
1,0,-2453.491268,2029.343884,140.405,3184,188
1,0,0,0,141.031,0,0
1,0,0,0,141.35,0,0
1,0,0,0,141.669,0,0
1,0,-2633.164872,2080.667863,141.685,3356,188
1,0,0,0,142.311,0,0
1,0,-2656.348795,2050.986855,142.328,3356,188
1,0,0,0,142.954,0,0
1,0,0,0,143.273,0,0
1,0,-2729.066755,2034.554164,143.295,3404,188
1,0,-2817.418262,2076.572738,143.608,3500,188
1,0,-2826.062226,2058.005903,143.937,3496,188
1,0,-2798.131281,2014.737038,144.245,3448,188
1,0,0,0,144.877,0,0
1,0,0,0,145.195,0,0
1,0,-2831.906213,1966.980224,145.217,3448,188
1,0,0,0,145.838,0,0
1,0,0,0,146.157,0,0
1,0,0,0,146.481,0,0
1,0,0,0,146.799,0,0
1,0,0,0,147.118,0,0
1,0,0,0,147.442,0,0
1,0,0,0,147.761,0,0
1,0,-3193.653385,1992.052724,148.046,3764,188
1,0,0,0,148.079,0,0
1,0,0,0,148.722,0,0
1,0,-3226.817492,1937.871222,149.013,3764,188
1,0,0,0,149.046,0,0
1,0,0,0,149.683,0,0
1,0,-3158.623784,1825.102679,149.98,3648,188
1,0,0,0,150.007,0,0
1,0,-3185.877893,1793.465374,150.623,3656,188
1,0,0,0,150.645,0,0
1,0,-3150.664543,1749.89398,150.952,3604,188
1,0,0,0,151.606,0,0
1,0,-3179.244478,1697.415844,151.902,3604,188
1,0,0,0,151.93,0,0
1,0,0,0,152.567,0,0
1,0,0,0,152.891,0,0
1,0,-3116.27337,1593.373868,152.919,3500,188
1,0,-3166.391763,1600.708345,153.182,3548,188
1,0,-3175.558611,1582.444788,153.512,3548,188
1,0,-3184.620117,1564.128738,153.842,3548,188
1,0,0,0,154.495,0,0
1,0,0,0,154.814,0,0
1,0,-3168.401605,1487.020939,154.858,3500,188
1,0,-3129.284322,1447.854839,155.171,3448,188
1,0,0,0,155.775,0,0
1,0,-3149.255775,1413.680325,155.825,3452,188
1,0,-3113.034434,1377.037622,156.138,3404,188
1,0,-3080.549671,1341.571363,156.467,3360,188
1,0,-3084.156521,1323.145703,156.78,3356,188
1,0,-3091.589383,1305.684146,157.104,3356,188
1,0,-3102.391829,1290.257703,157.418,3360,188
1,0,-3106.047391,1270.907394,157.747,3356,188
1,0,-3068.420195,1235.986047,158.06,3308,188
1,0,0,0,158.659,0,0
1,0,-3045.056905,1186.361009,158.714,3268,188
1,0,0,0,159.302,0,0
1,0,0,0,159.62,0,0
